Step,AgentID,NormDir,NeighborInfo,run
3,39,[-0.75888785  0.65122134],"[0.9, 0.05, 0.7, -0.8879541923261556, 0.7420799524752997, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
3,40,[-0.59925286  0.80055981],"[0.9, 0.05, 0.7, -0.6416013347018721, 0.8879691567282058, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,1,[-0.39271937  0.91965836],"[0.9, 0.05, 0.7, -0.12145994140269822, 0.30629508079565126, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,2,[ 0.52334918 -0.85211832],"[0.9, 0.05, 0.7, 0.30662039156515464, -0.6168936083387333, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,3,[-0.2903245   0.95692826],"[0.9, 0.05, 0.7, -0.3339172303489124, 0.9659529864743626, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,4,[-0.0222928  -0.99975148],"[0.9, 0.05, 0.7, -0.010524062172273085, -0.4911168676476747, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,5,[ 0.73136172 -0.68198976],"[0.9, 0.05, 0.7, 0.3069882430938482, -0.3674503820723789, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,6,[ 0.00533964 -0.99998574],"[0.9, 0.05, 0.7, -0.007486134010606271, -0.4913166019752879, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,7,[-0.92055607 -0.39061045],"[0.9, 0.05, 0.7, -0.927805302099344, -0.42278669637860844, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,8,[-0.61872816  0.78560516],"[0.9, 0.05, 0.7, -0.7665061307480949, 0.7419332342249192, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,9,[0.78002622 0.62574683],"[0.9, 0.05, 0.7, 0.013110991413467055, 0.05907318606450973, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,10,[-0.75276263 -0.65829205],"[0.9, 0.05, 0.7, -0.9631479385395385, -0.7389472239420434, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,11,[ 0.96717562 -0.25410889],"[0.9, 0.05, 0.7, 0.5723892812205007, -0.20322254536972317, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,12,[-0.22404604 -0.97457856],"[0.9, 0.05, 0.7, -0.08097867378689383, -0.4513917999909485, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,13,[ 0.98852708 -0.15104372],"[0.9, 0.05, 0.7, 0.8984474265207987, -0.06744638200955544, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,14,[ 0.64050105 -0.76795729],"[0.9, 0.05, 0.7, 0.17116616577372712, -0.2510436617286309, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,15,[-0.21720278  0.9761265 ],"[0.9, 0.05, 0.7, -0.15182233523914168, 0.6878824607125151, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,16,[0.91781439 0.39700975],"[0.9, 0.05, 0.7, 0.43362183880981786, 0.11242437889963819, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,17,[0.88288471 0.46958981],"[0.9, 0.05, 0.7, 0.5045681227924312, 0.30560006403005335, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,18,[0.41871571 0.90811737],"[0.9, 0.05, 0.7, 0.27625039177118027, 0.6502079051096794, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,19,[ 0.48251306 -0.87588878],"[0.9, 0.05, 0.7, 0.4060937686343786, -0.7646984470462037, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,20,[-0.5474988   0.83680647],"[0.9, 0.05, 0.7, -0.4933784125517988, 0.7671154597115459, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,21,[0.75058583 0.66077297],"[0.9, 0.05, 0.7, 0.5876077596931937, 0.49637384172096377, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,22,[ 0.69965411 -0.71448172],"[0.9, 0.05, 0.7, 0.91741930793097, -0.9854312439473631, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,23,[0.6329356  0.77420445],"[0.9, 0.05, 0.7, 0.6004658529058109, 0.8278172140311493, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,24,[-0.06189608  0.9980826 ],"[0.9, 0.05, 0.7, -0.08550254124483159, 0.9476005933548457, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,25,[-0.65238648  0.75788646],"[0.9, 0.05, 0.7, -0.6527035776783356, 0.6453932466445302, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,26,[0.97311978 0.23029956],"[0.9, 0.05, 0.7, 0.45388719003795885, 0.10206400420622375, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,27,[-0.84083899 -0.54128532],"[0.9, 0.05, 0.7, -0.9016300503261541, -0.5191496132550488, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,28,[0.80050894 0.59932081],"[0.9, 0.05, 0.7, 0.9705188036185237, 0.7032728476874619, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,29,[0.15210781 0.98836391],"[0.9, 0.05, 0.7, 0.0008514110659230134, 0.32080489937709955, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,30,[-0.30899867  0.95106247],"[0.9, 0.05, 0.7, -0.09921616752793372, 0.13853559677735894, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,31,[0.61242427 0.79052926],"[0.9, 0.05, 0.7, 0.2593033276462491, 0.4896587339592582, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,32,[ 0.53305477 -0.84608074],"[0.9, 0.05, 0.7, 0.28611027327085004, -0.5100846556374339, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,33,[-0.54241539 -0.84011044],"[0.9, 0.05, 0.7, -0.36343126622322464, -0.4699262814054441, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,34,[0.82786248 0.56093111],"[0.9, 0.05, 0.7, 0.8687958761448495, 0.8274898162977584, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,35,[ 0.91196911 -0.41025887],"[0.9, 0.05, 0.7, 0.6497847256364182, -0.34680914103976423, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,36,[0.99034209 0.13864541],"[0.9, 0.05, 0.7, 0.9486524676470076, 0.050749598130446216, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,37,[ 0.07449562 -0.99722134],"[0.9, 0.05, 0.7, 0.006192234142325281, -0.12535756456995295, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,38,[0.70406415 0.71013638],"[0.9, 0.05, 0.7, 0.5750613630805665, 0.47711641865337473, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,39,[-0.75888785  0.65122134],"[0.9, 0.05, 0.7, -0.8879541923261556, 0.7420799524752997, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
4,40,[-0.59925286  0.80055981],"[0.9, 0.05, 0.7, -0.6416013347018721, 0.8879691567282058, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,1,[-0.39271937  0.91965836],"[0.9, 0.05, 0.7, -0.12145994140269822, 0.30629508079565126, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,2,[ 0.52334918 -0.85211832],"[0.9, 0.05, 0.7, 0.30662039156515464, -0.6168936083387333, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,3,[-0.2903245   0.95692826],"[0.9, 0.05, 0.7, -0.3339172303489124, 0.9659529864743626, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,4,[-0.0222928  -0.99975148],"[0.9, 0.05, 0.7, -0.010524062172273085, -0.4911168676476747, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,5,[ 0.73136172 -0.68198976],"[0.9, 0.05, 0.7, 0.3069882430938482, -0.3674503820723789, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,6,[ 0.00533964 -0.99998574],"[0.9, 0.05, 0.7, -0.007486134010606271, -0.4913166019752879, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,7,[-0.92055607 -0.39061045],"[0.9, 0.05, 0.7, -0.927805302099344, -0.42278669637860844, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,8,[-0.61872816  0.78560516],"[0.9, 0.05, 0.7, -0.7665061307480949, 0.7419332342249192, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,9,[0.78002622 0.62574683],"[0.9, 0.05, 0.7, 0.013110991413467055, 0.05907318606450973, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,10,[-0.75276263 -0.65829205],"[0.9, 0.05, 0.7, -0.9631479385395385, -0.7389472239420434, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,11,[ 0.96717562 -0.25410889],"[0.9, 0.05, 0.7, 0.5723892812205007, -0.20322254536972317, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,12,[-0.22404604 -0.97457856],"[0.9, 0.05, 0.7, -0.08097867378689383, -0.4513917999909485, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,13,[ 0.98852708 -0.15104372],"[0.9, 0.05, 0.7, 0.8984474265207987, -0.06744638200955544, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,14,[ 0.64050105 -0.76795729],"[0.9, 0.05, 0.7, 0.17116616577372712, -0.2510436617286309, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,15,[-0.21720278  0.9761265 ],"[0.9, 0.05, 0.7, -0.15182233523914168, 0.6878824607125151, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,16,[0.91781439 0.39700975],"[0.9, 0.05, 0.7, 0.43362183880981786, 0.11242437889963819, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,17,[0.88288471 0.46958981],"[0.9, 0.05, 0.7, 0.5045681227924312, 0.30560006403005335, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,18,[0.41871571 0.90811737],"[0.9, 0.05, 0.7, 0.27625039177118027, 0.6502079051096794, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,19,[ 0.48251306 -0.87588878],"[0.9, 0.05, 0.7, 0.4060937686343786, -0.7646984470462037, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,20,[-0.5474988   0.83680647],"[0.9, 0.05, 0.7, -0.4933784125517988, 0.7671154597115459, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,21,[0.75058583 0.66077297],"[0.9, 0.05, 0.7, 0.5876077596931937, 0.49637384172096377, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,22,[ 0.69965411 -0.71448172],"[0.9, 0.05, 0.7, 0.91741930793097, -0.9854312439473631, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,23,[0.6329356  0.77420445],"[0.9, 0.05, 0.7, 0.6004658529058109, 0.8278172140311493, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,24,[-0.06189608  0.9980826 ],"[0.9, 0.05, 0.7, -0.08550254124483159, 0.9476005933548457, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,25,[-0.65238648  0.75788646],"[0.9, 0.05, 0.7, -0.6527035776783356, 0.6453932466445302, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,26,[0.97311978 0.23029956],"[0.9, 0.05, 0.7, 0.45388719003795885, 0.10206400420622375, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,27,[-0.84083899 -0.54128532],"[0.9, 0.05, 0.7, -0.9016300503261541, -0.5191496132550488, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,28,[0.80050894 0.59932081],"[0.9, 0.05, 0.7, 0.9705188036185237, 0.7032728476874619, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,29,[0.15210781 0.98836391],"[0.9, 0.05, 0.7, 0.0008514110659230134, 0.32080489937709955, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,30,[-0.30899867  0.95106247],"[0.9, 0.05, 0.7, -0.09921616752793372, 0.13853559677735894, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,31,[0.61242427 0.79052926],"[0.9, 0.05, 0.7, 0.2593033276462491, 0.4896587339592582, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,32,[ 0.53305477 -0.84608074],"[0.9, 0.05, 0.7, 0.28611027327085004, -0.5100846556374339, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,33,[-0.54241539 -0.84011044],"[0.9, 0.05, 0.7, -0.36343126622322464, -0.4699262814054441, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,34,[0.82786248 0.56093111],"[0.9, 0.05, 0.7, 0.8687958761448495, 0.8274898162977584, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,35,[ 0.91196911 -0.41025887],"[0.9, 0.05, 0.7, 0.6497847256364182, -0.34680914103976423, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,36,[0.99034209 0.13864541],"[0.9, 0.05, 0.7, 0.9486524676470076, 0.050749598130446216, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,37,[ 0.07449562 -0.99722134],"[0.9, 0.05, 0.7, 0.006192234142325281, -0.12535756456995295, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,38,[0.70406415 0.71013638],"[0.9, 0.05, 0.7, 0.5750613630805665, 0.47711641865337473, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,39,[-0.75888785  0.65122134],"[0.9, 0.05, 0.7, -0.8879541923261556, 0.7420799524752997, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
5,40,[-0.59925286  0.80055981],"[0.9, 0.05, 0.7, -0.6416013347018721, 0.8879691567282058, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,1,[-0.39271937  0.91965836],"[0.9, 0.05, 0.7, -0.12145994140269822, 0.30629508079565126, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,2,[ 0.52334918 -0.85211832],"[0.9, 0.05, 0.7, 0.30662039156515464, -0.6168936083387333, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,3,[-0.2903245   0.95692826],"[0.9, 0.05, 0.7, -0.3339172303489124, 0.9659529864743626, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,4,[-0.0222928  -0.99975148],"[0.9, 0.05, 0.7, -0.010524062172273085, -0.4911168676476747, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,5,[ 0.73136172 -0.68198976],"[0.9, 0.05, 0.7, 0.3069882430938482, -0.3674503820723789, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,6,[ 0.00533964 -0.99998574],"[0.9, 0.05, 0.7, -0.007486134010606271, -0.4913166019752879, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,7,[-0.92055607 -0.39061045],"[0.9, 0.05, 0.7, -0.927805302099344, -0.42278669637860844, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,8,[-0.61872816  0.78560516],"[0.9, 0.05, 0.7, -0.7665061307480949, 0.7419332342249192, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,9,[0.78002622 0.62574683],"[0.9, 0.05, 0.7, 0.013110991413467055, 0.05907318606450973, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,10,[-0.75276263 -0.65829205],"[0.9, 0.05, 0.7, -0.9631479385395385, -0.7389472239420434, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,11,[ 0.96717562 -0.25410889],"[0.9, 0.05, 0.7, 0.5723892812205007, -0.20322254536972317, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,12,[-0.22404604 -0.97457856],"[0.9, 0.05, 0.7, -0.08097867378689383, -0.4513917999909485, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,13,[ 0.98852708 -0.15104372],"[0.9, 0.05, 0.7, 0.8984474265207987, -0.06744638200955544, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,14,[ 0.64050105 -0.76795729],"[0.9, 0.05, 0.7, 0.17116616577372712, -0.2510436617286309, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,15,[-0.21720278  0.9761265 ],"[0.9, 0.05, 0.7, -0.15182233523914168, 0.6878824607125151, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,16,[0.91781439 0.39700975],"[0.9, 0.05, 0.7, 0.43362183880981786, 0.11242437889963819, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,17,[0.88288471 0.46958981],"[0.9, 0.05, 0.7, 0.5045681227924312, 0.30560006403005335, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,18,[0.41871571 0.90811737],"[0.9, 0.05, 0.7, 0.27625039177118027, 0.6502079051096794, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,19,[ 0.48251306 -0.87588878],"[0.9, 0.05, 0.7, 0.4060937686343786, -0.7646984470462037, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,20,[-0.5474988   0.83680647],"[0.9, 0.05, 0.7, -0.4933784125517988, 0.7671154597115459, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,21,[0.75058583 0.66077297],"[0.9, 0.05, 0.7, 0.5876077596931937, 0.49637384172096377, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,22,[ 0.69965411 -0.71448172],"[0.9, 0.05, 0.7, 0.91741930793097, -0.9854312439473631, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,23,[0.6329356  0.77420445],"[0.9, 0.05, 0.7, 0.6004658529058109, 0.8278172140311493, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,24,[-0.06189608  0.9980826 ],"[0.9, 0.05, 0.7, -0.08550254124483159, 0.9476005933548457, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,25,[-0.65238648  0.75788646],"[0.9, 0.05, 0.7, -0.6527035776783356, 0.6453932466445302, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,26,[0.97311978 0.23029956],"[0.9, 0.05, 0.7, 0.45388719003795885, 0.10206400420622375, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,27,[-0.84083899 -0.54128532],"[0.9, 0.05, 0.7, -0.9016300503261541, -0.5191496132550488, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,28,[0.80050894 0.59932081],"[0.9, 0.05, 0.7, 0.9705188036185237, 0.7032728476874619, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,29,[0.15210781 0.98836391],"[0.9, 0.05, 0.7, 0.0008514110659230134, 0.32080489937709955, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,30,[-0.30899867  0.95106247],"[0.9, 0.05, 0.7, -0.09921616752793372, 0.13853559677735894, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,31,[0.61242427 0.79052926],"[0.9, 0.05, 0.7, 0.2593033276462491, 0.4896587339592582, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,32,[ 0.53305477 -0.84608074],"[0.9, 0.05, 0.7, 0.28611027327085004, -0.5100846556374339, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,33,[-0.54241539 -0.84011044],"[0.9, 0.05, 0.7, -0.36343126622322464, -0.4699262814054441, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,34,[0.82786248 0.56093111],"[0.9, 0.05, 0.7, 0.8687958761448495, 0.8274898162977584, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,35,[ 0.91196911 -0.41025887],"[0.9, 0.05, 0.7, 0.6497847256364182, -0.34680914103976423, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
6,36,[0.99034209 0.13864541],"[0.9, 0.05, 0.7, 0.9486524676470076, 0.050749598130446216, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
